title,class1,class2,class3,itemkey,subkey,body,author,receiver,year,create_date,type,quantity,state,place,remarks,image,pdf
臨床的な問題,血管迷走神経反射,,,17,,"Ⅰ度
必須症状・所見 ： 血圧低下，徐脈（＞40/分）
他の症状 ： 顔面蒼白，冷汗悪心などの症状を伴うもの",,,,,B,,B,,,,
臨床的な問題,血管迷走神経反射,,,18,,"Ⅱ度
必須症状・所見 ： I 度に加えて意識喪失，徐脈(≦40／分)，血圧低下(＜90Pa)
他の症状 ： 嘔吐",,,,,B,,B,,,,
臨床的な問題,血管迷走神経反射,,,19,,"Ⅲ度
必須症状・所見 ： Ⅱ度に加えて痙攣、失禁",,,,,D,,D,,,,
臨床的な問題,その他,,,20,,"以下、不可(既往歴含む)
・悪性腫瘍
・カルチノイド
・サルコイドーシス",,,,,D,,D,,,,
呼吸器疾患 ,呼吸機能,,,21,,"呼吸機能 検査 以下、不可
％ＶＣ＜７０％、ＦＥＶ１
０％＜７０％",,,,,C,,C,,,,
呼吸器疾患 ,呼吸機能,,,22,,"以下、不可（既往歴含む）
■肺循環障害
・肺塞栓症
・原発性肺高血圧症
・急性呼吸器切迫症候 群",,,,,D,,D,,,,
呼吸器疾患 ,"気管支喘息
（咳喘息含む）",,,23,,過去１年以内に発作、自覚症状があるなどコントロール不良な状態、又は薬物治療終了後１年以内のものは不可 喘息発作の定義 医療機関での診断名有り,,,,,C,,C,,,,
呼吸器疾患 ,"気管支喘息
（咳喘息含む）",,,24,,1 年以内に発作がなくても、それ以前の症状によって要検討（呼吸機能検査等を確認した上で採取施設判断とする）,,,,,B,,B,,,,
呼吸器疾患 ,"気管支喘息
（咳喘息含む）",,,25,,ステロイド剤の内服はコントロール不良の喘息として不可,,,,,C,,C,,,,
呼吸器疾患 ,"気管支喘息
（咳喘息含む）",,,26,,予防的に用いられる吸入薬（吸入ステロイド、インタール等）や抗アレルギー薬の服薬だけで発作や症状がなくても不可,,,,,C,,C,,,,
呼吸器疾患 ,異常呼吸,,,27,,過換気症候群は、治癒後1 年を経過し、再燃がなければ可,,,,,A,,A,,,,
呼吸器疾患 ,異常呼吸,,,28,,睡眠時無呼吸症候群(SAS)の疑いがある場合、もしくは、医療機関等で要観察となっている場合は、診断が判明するまで不可,,,,,C,,C,,,,
呼吸器疾患 ,異常呼吸,,,29,,睡眠時無呼吸症候群(SAS)は、無呼吸 低呼吸指数が、 10 回 時以上は不可,,,,,C,,C,,,,
呼吸器疾患 ,自然気胸他,,,30,,１０年以内に、気胸を起こし、胸腔穿刺や外科的処置を受けた場合は不可,,,,,C,,C,,,,
呼吸器疾患 ,自然気胸他,,,31,,再発を繰り返している場合は、経過年数、治療法に関らず要検討,,,,,B,,B,,,,
呼吸器疾患 ,自然気胸他,,,32,,保存的（治療等せず）に回復し、治癒後1 年を経過していれば可,,,,,A,,A,,,,
呼吸器疾患 ,非定型抗酸菌症（ＭＡＣ）,,,33,,非定型抗酸菌症の指摘および経過観察中は不可（自覚症状の有無に関らず）,,,,,D,,D,,,,
呼吸器疾患 ,間質性肺炎,,,34,,間質性肺炎の既往がある場合は不可,,,,,D,,D,,,,
循環器疾患,血圧,,,35,,高血圧（収縮期圧＞１５０mmHg 、拡張期圧＞１００ mmHg ）は不可,,,,,C,,C,,,,
循環器疾患,血圧,,,36,,低血圧（収縮期圧＜９０mmHg ）は不可,,,,,C,,C,,,,
循環器疾患,血栓症,,,37,,血栓症の既往は不可,,,,,D,,D,,,,
循環器疾患,下肢静脈瘤,,,38,,下肢静脈瘤の既往は不可,,,,,D,,D,,,,
循環器疾患,深部静脈血栓,,,39,,深部静脈血栓の既往は不可,,,,,D,,D,,,,
循環器疾患,先天性心疾患,,,40,,無症状、無治療で経過し、健康診断などの心電図で異常所見を指摘されていないものは可,,,,,A,,A,,,,
循環器疾患,先天性心疾患,,,41,,"以下の先天性疾患は、無症状、 あるいは治療の必要がない場合も不可
・心房中隔欠損症(ASD)
・心室中隔欠損症(VSD)
・動脈管開存症(PDA) （ボタロー管開存症)",,,,,D,,D,,,,
循環器疾患,先天性心疾患,,,42,,ただし、自然閉鎖 は要検討,,,,,B,,B,,,,
循環器疾患,先天性心疾患,,,43,,"以下、不可（既往歴含む）
・心内膜床欠損症
・大動脈縮窄症
・完全大血管転位症
・三尖弁閉鎖症
・総肺静脈還流異常症
・単室症
・純型肺動脈閉鎖症
・左心低形成症候群",,,,,D,,D,,,,
循環器疾患,後天性心疾患,,,44,,"以下、不可
既往歴含む
・僧帽弁狭窄症(MS)
・僧帽弁閉鎖不全症(MR)
・非リウマチ性僧帽弁閉鎖不全症
・僧帽弁逸脱症候群
・大動脈弁狭窄症
     特発性大動脈弁下狭窄(IHSS-肥大型閉鎖心筋症)
     大動脈弁上狭窄
     大動脈弁下狭窄
・大動脈弁閉鎖不全症(AR)
・三尖弁狭窄症
・三尖弁閉鎖不全症
・連合弁膜症
     僧帽弁狭窄症(MS)+大動脈弁閉鎖不全症 (AR)
     僧帽弁閉鎖不全症(MR)+大動脈弁閉鎖不全症(AR)
     僧帽弁狭窄症(MS)+大動脈弁狭窄(AS)
     大動脈弁狭窄(AS)+僧帽弁閉鎖不全症(MR)
     僧帽弁疾患+三尖弁閉鎖不全(TR)",,,,,D,,D,,,,
循環器疾患,徐脈,,,45,,"洞性徐脈の場合、心電図等で洞不全症候群（ＳＳＳ）が指摘されていなければ可
術前健診時に要検討",,,,,B,,B,,,,
循環器疾患,徐脈,,,46,,洞性徐脈の値が 心拍数 ４０ 回 以下／分） は不可,,,,,C,,C,,,,
循環器疾患,徐脈,,,47,,ただし、徐脈の原因がスポーツ心など病的でないことが明らかな場合は、要検討,,,,,B,,B,,,,
循環器疾患,虚血性心疾患,,,48,,"以下、不可(既往歴含む)
・狭心症
・心筋梗塞",,,,,D,,D,,,,
循環器疾患,心電図所見,,,49,,"以下、不可(既往歴含む)
・虚血性変化
・房室ブロック＜Ａ－Ｖブロック ＞(Ⅱ度以上)
・左脚ブロック
・心房細動
・右房負荷（右軸偏位、右室肥大、完全右脚ブロックなどの所見を伴うもの）
・左房負荷（左室肥大などの所見を伴うもの）
・右室肥大（右軸偏位、完全右脚ブロックなどを伴うもの）
・左室肥大（左軸偏位、完全左脚ブロックなど、虚血性心筋障害を伴うもの）
・洞不全症候群
・人工ペーシング（ペースメーカー植え込み）
・上室性頻拍症
・非発作性頻拍症（房室結合型、心室性）
・心室性期外収縮（頻発性（＞１０個／分）、多源性のもの、連発性）
・心筋梗塞
・虚血性ＳＴ低下の疑い
・虚血性心筋障害（ＳＴ下降、Ｔ異常、Ｕ異常、異常Ｑ）
・発作性頻拍症",,,,,D,,D,,,,
循環器疾患,心電図所見,,,50,,Brugada症候群と診断された場合は不可,,,,,D,,D,,,,
循環器疾患,心電図所見,,,51,,Brugada症候群と診断された場合は不可,ただし、心電図異常のみの場合は要検討,,,,B,,B,,,,
循環器疾患,心電図所見,,,52,,ＷＰＷ症候群 は不可,,,,,D,,D,,,,
循環器疾患,心電図所見,,,53,,ＷＰＷ症候群 は不可,"ただし、頻脈を伴わない無症状の ＷＰＷ 症候群は可(麻酔科判断)
※頻脈発作を過去に２回も起こしたことがないこと",,,,B,,B,,,,
循環器疾患,心電図所見,,,54,,"以下の波形は病的所見とは言えないので、可
①若年者におけるV １ ,V ２の逆転Ｔ波
②ろう斗胸、扁平胸では、V １で P 波逆転、 V ５ , V ６で R 波増高
③幅のないsmall Ｑ波",,,,,A,,A,,,,
循環器疾患,心電図所見,,,55,,過去に 、健康診断の心電図所見にて指摘され、その後精密検査で異常なしと診断された場合は可,,,,,A,,A,,,,
循環器疾患,心電図所見,,,56,,"以下、不可
・洞性頻脈 (心拍数 １００ 回 以上／分）",,,,,C,,C,,,,
循環器疾患,心電図所見,,,57,,"以下､要検討
・洞性不整脈
・房室ブロック    ＜Ａ-Ｖブロック＞ （Ⅰ度）
・不完全右脚ブロック
・完全右脚ブロック（他に所見のない場合）
・心室性期外収縮　（散発性・単発性 ＜３０個／時）
・上室性期外収縮
・二相性Ｐ　　　　（他に所見のない場合）
・右軸偏位　　　　（他に所見のない場合）
・左軸偏位　　　　（他に所見のない場合）",,,,,B,,B,,,,
循環器疾患,心電図所見,,,58,,"以下､要検討
・Ｖ１におけるＲＳＲ'型",,,,,B,,B,,,,
循環器疾患,不整脈,,,59,,治療を要する不整脈がある場合または不整脈の既往歴（治療歴）がある場合は不可,,,,,D,,D,,,,
循環器疾患,動脈疾患,,,60,,"以下、不可
既往歴含む
・閉塞性動脈硬化症
・胸部大動脈瘤",,,,,D,,D,,,,
循環器疾患,心膜疾患,,,61,,"以下、不可
既往歴含む
・心膜炎",,,,,D,,D,,,,
循環器疾患,心筋疾患,,,62,,"以下、不可
既往歴含む
・心筋症
・肥大型心筋症
・拡張型心筋症
・拘束型心筋症
・不整脈原性右室心筋症",,,,,D,,D,,,,
循環器疾患,心筋疾患,,,63,,急性ウイルス性心筋炎は、完治していれば可,,,,,A,,A,,,,
消化器疾患,潰瘍性大腸炎、クローン 病,,,64,,再燃の可能性のあるもの、自己免疫疾患によることが示唆されている疾患の既往のあるものは不可,,,,,D,,D,,,,
消化器疾患,虫垂炎,,,65,,虫垂炎の薬物治療で、抗生物質投与後1 年経過し、再燃がなければ可,,,,,A,,A,,,,
消化器疾患,その他,,,66,,"以下、不可
既往歴含む
・消化管ポリポーシス
・家族性大腸線腫症
・ターコット症候群
・ポイツ-イェガース症候群
・コーデン病",,,,,D,,D,,,,
肝・胆・膵疾患,ウイルス肝炎,A型肝炎,,67,,Ａ型肝炎は、治癒後６ヵ月を経過していれば可,,,,,A,,A,,,,
肝・胆・膵疾患,ウイルス肝炎,Ｂ型肝炎,,68,,ＨＢs 抗原 陽性は不可,,,,,D,,D,,,,
肝・胆・膵疾患,ウイルス肝炎,Ｂ型肝炎,,69,,ＨＢワクチン接種によるＨＢｓ抗体陽性は可。 ,,,,,A,,A,,,,
肝・胆・膵疾患,ウイルス肝炎,Ｂ型肝炎,,70,,それ以外は患者主治医判断,,,,,B,,B,,,,
肝・胆・膵疾患,ウイルス肝炎,Ｂ型肝炎,,71,,"＜確認検査時＞ＨＢｃ抗体 ： １．０以上
（陽性）の場合",ＨＢｓ抗体価： １２８倍以上は 可,,,,A,,A,,,,
肝・胆・膵疾患,ウイルス肝炎,Ｂ型肝炎,,72,,"＜確認検査時＞ＨＢｃ抗体 ： １．０以上
（陽性）の場合",ＨＢｓ抗体価： ６４倍以下、または、陰性は 不可,,,,D,,D,,,,
肝・胆・膵疾患,ウイルス肝炎,Ｂ型肝炎,,73,,＜確認検査時＞確認検査時陰性で、術前健診時 HBc 抗体陽性のときは、患者主治医判断,,,,,B,,B,,,,
肝・胆・膵疾患,ウイルス肝炎,Ｂ型肝炎,,74,,"＜確認検査時＞ただし、患者主治医からの依頼でＨＢＶ－ＤＮＡ検査等を実施し、陽性となった場
合は、不可",,,,,D,,D,,,,
肝・胆・膵疾患,ウイルス肝炎,C型肝炎,,75,,＜確認検査時＞ＨＣＶ １．０以上は不可,,,,,D,,D,,,,
肝・胆・膵疾患,ウイルス肝炎,C型肝炎,,76,,＜確認検査時＞Ｃ型肝炎の既往は不可,,,,,D,,D,,,,
肝・胆・膵疾患,ウイルス肝炎,E型肝炎,,77,,Ｅ型肝炎は、治癒後６ヵ月を経過していれば可,,,,,A,,A,,,,
肝・胆・膵疾患,ウイルス肝炎,-,,78,, エプスタイン・バーウイルス（EBV）、サイトメガロウイルス（CMV）による肝炎診断が確かな場合は、治癒後６ヵ月を経過していれば主治医判断,,,,,B,,B,,,,
肝・胆・膵疾患,ウイルス肝炎,-,,79,,ルポイド肝炎（自己免疫性肝炎）は不可,,,,,D,,D,,,,
肝・胆・膵疾患,ウイルス肝炎,-,,80,,ウィルス肝炎のウィンドウ期であることが否定できないものは不可,,,,,C,,C,,,,
肝・胆・膵疾患,体質性黄疸,,,81,,＜術前健診時＞体質性黄疸の診断を受けており、血清ビリルビン値が施設基準値上限の２倍以内の場合は可,,,,,A,,A,,,,
肝・胆・膵疾患,体質性黄疸,,,82,,＜術前健診時＞それ以外は、採取施設判断,,,,,B,,B,,,,
肝・胆・膵疾患,胆石,,,83,,治癒あるいは現在治療の必要性がなく症状が落ち着いている場合は可,,,,,A,,A,,,,
肝・胆・膵疾患,脾腫,,,84,,（理学的所見）脾腫がある場合は不可,,,,,D,,D,,,,
肝・胆・膵疾患,脾腫,,,85,,（ＵＡ所見）施設診断にて、脾腫がある場合は不可,,,,,D,,D,,,,
肝・胆・膵疾患,脾摘出,,,86,,脾臓摘出は不可,,,,,D,,D,,,,
肝・胆・膵疾患,慢性肝炎,,,87,,過去に専門医により慢性肝炎の診断を受けているものは不可,,,,,D,,D,,,,
肝・胆・膵疾患,脂肪肝,,,88,,術前健診時、ＧＯＴ、ＧＰＴ等が施設基準値上限を超えていても上限の２倍以内で、脂肪肝であることが確認されていれば可、他肝機能を総合的に判断して可否を決定する,,,,,B,,B,,,,
肝・胆・膵疾患,"薬剤性肝障害
アルコール性肝障害",,,89,,治癒していれば可,,,,,A,,A,,,,
肝・胆・膵疾患,ＬＤＨ,,,90,,＜術前健診時＞施設基準値上限の ２倍以上は 不可,,,,,C,,C,,,,
肝・胆・膵疾患,ＬＤＨ,,,91,,＜術前健診時＞施設基準値上限の ２倍以上は 不可,ただし、 最終判断は 採取施設判断とする 。それ以外は要検討。,,,,B,,B,,,,
肝・胆・膵疾患,"肝機能検査
その他",,,92,,"＜確認検査時＞
■T Ｂ il
適格　　＜２．０
再検査 　≧２．０
再検査後、 ＜２．０ であれば可",,,,,B,,B,,,,
肝・胆・膵疾患,"肝機能検査
その他",,,93,,"＜確認検査時＞
■ＧＯＴ（ＡＬＴ)
適格 　　≦４０
不適格 　＞８０
４０ ＜　再検査　≦　８０
再検査後、＜ ４５ （ただし 、改善傾向が見られる場合であれば可）",,,,,B,,B,,,,
肝・胆・膵疾患,"肝機能検査
その他",,,94,,"＜確認検査時＞
■ＧＰＴ（ＡＬＴ)
適格 　　≦４０
不適格 　＞８０
４０ ＜　再検査　≦　８０
再検査後、＜５０ （ただし 、改善傾向が見られる場合であれば可）",,,,,B,,B,,,,
肝・胆・膵疾患,"肝機能検査
その他",,,95,,"＜確認検査時＞
■γ GTP
適格　　＜１００
再検査 　≧１００
（単独高値の場合は禁酒し、再検査にて正常化すれば可）",,,,,B,,B,,,,
肝・胆・膵疾患,"肝機能検査
その他",,,96,,"＜確認検査時＞
■ＴＰ
６．０　＜適格 ９．０ は可、それ以外は要検討",,,,,B,,B,,,,
肝・胆・膵疾患,"肝機能検査
その他",,,97,,過去 1 年以内に肝機能異常を指摘されており、高値が持続している場合は、再検査せず不適格,,,,,C,,C,,,,
肝・胆・膵疾患,"肝機能検査
その他",,,98,,＜術前健診時＞ＧＯＴ，ＧＰＴ、Ｔ－Ｂｉｌ、γ－ＧＴＰが施設基準値上限の２倍以上は不可,,,,,C,,C,,,,
肝・胆・膵疾患,"肝機能検査
その他",,,99,,＜術前健診時＞ＧＯＴ，ＧＰＴ、Ｔ－Ｂｉｌ、γ－ＧＴＰが施設基準値上限の２倍以上は不可,ただし、最終判断は採取施設判断とする。,,,,B,,B,,,,
代謝・栄養疾患,高度の肥満,,,100,,ＢＭＩ ３０以上は不可（ＢＭＩ 体重 (kg) ÷身長 ｍ ÷身長（ｍ））,,,,,C,,C,,,,
代謝・栄養疾患,脂質異常症,,,101,,"＜確認検査時＞
ＨＤＬ－Ｃ ４０ mg/dl 未満 かつ
non-H ＤＬ－Ｃ １９０ mg/dl 以上は不適格
※non-HDL-C　＝ T-Cho ーHDL-C
※確認検査時、総コレステロール及びHDL-C 検査を実施します。",,,,,B,,C,,,,
代謝・栄養疾患,脂質異常症,,,102,,"＜術前健診時＞（次の項目を検査した場合）
ＨＤＬ－Ｃ　４０ mg/dl 未満 かつ ＬＤＬ－Ｃ １６０ mg/dl 以上は不適格",,,,,B,,C,,,,
代謝・栄養疾患,脂質異常症,,,103,,"＜術前健診時＞（次の項目を検査した場合）
ＬＤＬ－Ｃ １８０ mg/dl 以上は不適格",,,,,B,,C,,,,
代謝・栄養疾患,低体重,,,104,,男性４５ k ｇ未満、女性４０ k ｇ未満は不可,,,,,C,,C,,,,
代謝・栄養疾患,糖尿病,,,105,,食事療法のみでコントロール良好の場合、糖尿病性腎症、糖尿病性網膜症、糖尿病性神経症等を合併していなければ可,,,,,B,,B,,,,
代謝・栄養疾患,糖尿病,,,106,,未治療の場合のものは不可,,,,,C,,C,,,,
代謝・栄養疾患,糖尿病,,,107,,"以下、 糖尿病による合併症 が認められるものは 不可
・ 糖尿病性腎症
・ 糖尿病性網膜症
・ 糖尿病性神経症等",,,,,D,,D,,,,
代謝・栄養疾患,糖尿病,,,108,,投薬治療（インスリン、グルコシダーゼインヒビターなどの血糖降下剤など）が必要な糖尿病 は不可,,,,,C,,C,,,,
代謝・栄養疾患,糖尿病,,,109,,"空腹時血糖(１２時間以上の 絶食)　　≧　１２６ mg/dl
随時血糖　　≧　２００ mg/dl　　　 の 場合は不可",,,,,C,,C,,,,
代謝・栄養疾患,糖尿病,,,110,,随時血糖　　≧　１６０ mg/dl は、ＨｂＡ１ｃの測定を実施すること。,ＨｂＡ１ｃ(ＮＧＳＰ)　≧ ６．５％は不可,,,,C,,C,,,,
代謝・栄養疾患,糖尿病,,,111,,随時血糖　　≧　１６０ mg/dl は、ＨｂＡ１ｃの測定を実施すること。,ＨｂＡ１ｃ(ＪＤＳ )       ≧ ６．１％は 不可,,,,C,,C,,,,
代謝・栄養疾患,痛風、高尿酸血症,,,112,,"＜健康診断等＞
痛風の症状や治療中は不可",,,,,C,,C,,,,
代謝・栄養疾患,痛風、高尿酸血症,,,113,,"＜健康診断等＞
治療終了後１年以上経過し、症状なしは可",,,,,A,,A,,,,
代謝・栄養疾患,痛風、高尿酸血症,,,114,,"＜健康診断等＞
尿酸値　≧９ mg/dl は不可",,,,,C,,C,,,,
代謝・栄養疾患,痛風、高尿酸血症,,,115,,"＜健康診断等＞
尿酸値 ８ mg/dl≦ or 　＜９ mg/dl は 施設判断とする。",,,,,B,,B,,,,
代謝・栄養疾患,痛風、高尿酸血症,,,116,,"＜健康診断等＞
痛風発作で薬剤を服薬中は不可",,,,,C,,C,,,,
代謝・栄養疾患,痛風、高尿酸血症,,,117,,"＜健康診断等＞
ただし 、服薬終了後再燃なく１年経過すれば可",,,,,A,,A,,,,
代謝・栄養疾患,痛風、高尿酸血症,,,118,,"＜健康診断等＞
関節症状や腎障害 痛風腎 がある場合は不可",,,,,C,,C,,,,
内分泌疾患,甲状腺疾患,,,119,,甲状腺機能亢進症は 不可（既往も含む）,,,,,D,,D,,,,
内分泌疾患,甲状腺疾患,,,120,,甲状腺機能低下症は不可 （既往も含む,,,,,D,,D,,,,
内分泌疾患,甲状腺疾患,,,121,,単純性甲状腺腫 非中毒性甲状腺腫 の既往は、橋本病（慢性甲状腺炎）が否定されていれば可,,,,,A,,A,,,,
内分泌疾患,甲状腺疾患,,,122,,甲状腺腫瘍の既往は、良性結節であれば可,,,,,A,,A,,,,
内分泌疾患,甲状腺疾患,,,123,,急性化膿性甲状腺炎、亜急性甲状腺炎は治癒していれば可,,,,,A,,A,,,,
内分泌疾患,内分泌疾患,,,124,,脳下垂体腺腫で良性と申告がされた場合は、問診で健康状況を考慮し判断する,,,,,B,,B,,,,
血液・造血器疾患,血算,,,125,,"■ヘモグロビン Ｈｂ＜確認検査時＞
男性： １３ g/ ｄｌ ～１８ｇ/ ｄｌ
女性： １２ｇ/ ｄｌ ～１６ｇ /ｄｌ",,,,,A,,A,,,,
血液・造血器疾患,血算,,,126,,"■ヘモグロビン Ｈｂ＜確認検査時＞
男性： １３ g/ ｄｌ ～１８ｇ/ ｄｌ
女性： １２ｇ/ ｄｌ ～１６ｇ /ｄｌ",ただし、 過去 1 年以内にヘモグロビン（ Hb ）低値や比重不足を指摘されており、低値が持続している場合は、再検査せず不可,,,,C,,C,,,,
血液・造血器疾患,血算,,,127,,"■ヘモグロビン Ｈｂ＜確認検査時＞
男性：１３ g/ ｄｌ ～１８ｇ/ ｄｌ
女性：１２ｇ/ ｄｌ ～１６ｇ /ｄｌ",再検査にて基準値に至っていない場合は、不可 再検査の際に鉄剤服用は不可,,,,C,,C,,,,
血液・造血器疾患,血算,,,128,,"■ヘモグロビン Ｈｂ＜術前検査時＞
男性： １３ g/ ｄｌ ～１８ｇ/ ｄｌ
女性：１２ｇ/ ｄｌ ～１７ｇ /ｄｌ",,,,,A,,A,,,,
血液・造血器疾患,血算,,,129,,"■ヘモグロビン Ｈｂ＜術前検査時＞
男性： １３ g/ ｄｌ ～１８ｇ/ ｄｌ
女性： １２ｇ/ ｄｌ ～１７ｇ /ｄｌ",再検査にて基準値に至っていない場合は、不可 再検査の際に鉄剤服用は不可,,,,C,,C,,,,
血液・造血器疾患,血算,,,130,,"■白血球（ＷＢＣ）＜確認検査時＞
男女： ３，０００/μ l～１０，０００/ μｌ
上記、数値以外は再検査 再検査後の適格基準は、同上",,,,,A,,A,,,,
血液・造血器疾患,血算,,,131,,"v＜術前検査時＞
男女： ３，０００/μ l～１０，０００/ μｌ
上記、数値以外は再検査 再検査後の適格基準は、同上",,,,,A,,A,,,,
血液・造血器疾患,血算,,,132,,"■白血球（ＷＢＣ）＜術前検査時＞
男女： ３，０００/μ l～１０，０００/ μｌ
上記、数値以外は再検査 再検査後の適格基準は、同上",※検査データが低値もしくは高値であり、再検査後改善傾向を示すが、基準値に至っていない場合においては、採取施設が総合的に判断し、採取の可否を決定すること,,,,B,,B,,,,
血液・造血器疾患,血算,,,133,,"■血小板（ＰＬＴ）＜確認検査時＞
男女： １５万/ μ l　～　 ４０万/ μｌ
上記、数値以外は再検査 再検査後の適格基準は、同上",,,,,A,,A,,,,
血液・造血器疾患,血算,,,134,,"■血小板（ＰＬＴ）＜確認検査時＞
男女： １５万/ μ l　～　 ４０万/ μｌ
上記、数値以外は再検査 再検査後の適格基準は、同上",ＥＤＴＡ依存性偽性血小板減少症の可能性が否定できない場合、クエン酸で再検査を実施。正常化すれば可,,,,A,,A,,,,
血液・造血器疾患,血算,,,135,,"■血小板（ＰＬＴ）＜術前検査時＞
男女： １５万/ μ l　～　 ４０万/ μｌ
上記、数値以外は再検査 再検査後の適格基準は、同上",,,,,A,,A,,,,
血液・造血器疾患,血算,,,136,,"■血小板（ＰＬＴ）＜術前検査時＞
男女： １５万/ μ l　～　 ４０万/ μｌ
上記、数値以外は再検査 再検査後の適格基準は、同上",※検査データが低値もしくは高値であり、再検査後改善傾向を示すが、基準値に至っていない場合においては、採取施設が総合的に判断し、採取の可否を決定すること,,,,B,,B,,,,
血液・造血器疾患,血算,,,137,,"■ヘマトクリット値（Ｈｔ）＜確認検査時＞
男：≧ ３９．８ 　≦５１．８
女：≧ ３３．４　≦ ４４．９",,,,,A,,A,,,,
血液・造血器疾患,血算,,,138,,"■ヘマトクリット値（Ｈｔ）＜確認検査時＞
男：≧ ３９．８ 　≦５１．８
女：≧ ３３．４　≦ ４４．９",上記、数値以外は要検討（総合判定）,,,,B,,B,,,,
血液・造血器疾患,血算,,,139,,"■平均赤血球容積 (ＭＣＶ）＜確認検査時＞
男：　≧ ８２．７ 　≦１０１．６
女： 　≧７９ 　　　≦１００",,,,,A,,A,,,,
血液・造血器疾患,血算,,,140,,"■平均赤血球容積 (ＭＣＶ）＜確認検査時＞
男：　≧ ８２．７ 　≦１０１．６
女： 　≧７９ 　　　≦１００",上記、数値以外は要検討（総合判定）,,,,B,,B,,,,
血液・造血器疾患,生化学,,,141,,"＜入院時＞
Ｃ反応性蛋白（CRP）施設基準 2 倍以上は要検討",,,,,B,,B,,,,
血液・造血器疾患,凝固系,,,142,,"術前健診時
活性化部分トロンボプラスチン時間 (ＡＰＴＴ）
４８ｓｅｃ以上は不可",,,,,D,,D,,,,
